epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.896,0.97314,1.72222,0.94075,0.81332,0.86544,0.92727,0.69883,0.87843,1.02788,0.92201,0.000192857,0.000192857,0.000192857
2,40.0955,0.90602,1.59721,0.92913,0.88697,0.83751,0.943,0.70127,0.90309,0.93269,0.93819,0.000390264,0.000390264,0.000390264
3,52.1392,0.93014,1.49698,0.90611,0.85015,0.90111,0.9482,0.68595,0.97856,1.00036,0.96859,0.000585031,0.000585031,0.000585031
4,64.0677,0.91362,1.41696,0.91693,0.81762,0.86118,0.90367,0.64774,1.00751,1.07784,1.01012,0.000777159,0.000777159,0.000777159
5,76.6743,0.91412,1.37315,0.91991,0.88665,0.91335,0.92808,0.67608,0.943,0.8547,0.95836,0.000966646,0.000966646,0.000966646
6,90.027,0.88855,1.2768,0.92712,0.87439,0.89302,0.92657,0.70249,0.91817,0.87823,0.95406,0.000967,0.000967,0.000967
7,103.062,0.89125,1.37504,0.97824,0.90098,0.88987,0.93588,0.72495,0.86237,0.87523,0.95995,0.0009604,0.0009604,0.0009604
8,116.276,0.91736,1.27234,0.96322,0.93875,0.87259,0.9471,0.71872,0.85782,0.85296,0.95121,0.0009538,0.0009538,0.0009538
9,129.797,0.91093,1.26712,0.94371,0.9251,0.92468,0.95538,0.69889,0.95755,0.75695,0.97568,0.0009472,0.0009472,0.0009472
10,143.402,0.87499,1.12816,0.92783,0.88935,0.92883,0.94658,0.71016,0.87494,0.7864,0.94743,0.0009406,0.0009406,0.0009406
11,156.01,0.84598,1.11504,0.9121,0.91846,0.91732,0.94553,0.69542,0.98731,0.80926,0.9929,0.000934,0.000934,0.000934
12,168.88,0.86348,1.08248,0.91269,0.89146,0.91848,0.9496,0.65274,1.11393,0.77553,1.05182,0.0009274,0.0009274,0.0009274
13,181.666,0.85629,1.07247,0.93101,0.9443,0.93855,0.9598,0.69873,0.99732,0.78425,1.01182,0.0009208,0.0009208,0.0009208
14,194.456,0.84117,1.01724,0.92709,0.89618,0.95148,0.94923,0.69914,0.93638,0.75444,0.98499,0.0009142,0.0009142,0.0009142
15,208.266,0.86758,1.03826,0.92525,0.90739,0.92447,0.96868,0.67142,1.12593,0.72814,1.04871,0.0009076,0.0009076,0.0009076
16,221.67,0.84225,1.06136,0.92395,0.90988,0.90271,0.93366,0.70732,0.88073,0.75861,0.95657,0.000901,0.000901,0.000901
17,234.804,0.86251,0.93594,0.93663,0.91895,0.93659,0.94102,0.69248,0.9738,0.76421,1.00126,0.0008944,0.0008944,0.0008944
18,248.247,0.84449,0.94145,0.92061,0.93047,0.9521,0.95719,0.71716,0.9131,0.67515,0.96137,0.0008878,0.0008878,0.0008878
19,260.937,0.80608,0.86867,0.91026,0.91558,0.93995,0.96082,0.7008,1.01514,0.71538,1.00108,0.0008812,0.0008812,0.0008812
20,273.051,0.82263,0.91251,0.93703,0.89983,0.93741,0.95071,0.68685,1.01861,0.75851,1.00214,0.0008746,0.0008746,0.0008746
21,284.931,0.83311,0.90632,0.91563,0.92543,0.943,0.95101,0.6948,0.96601,0.7359,0.98279,0.000868,0.000868,0.000868
22,296.702,0.81883,0.9018,0.9182,0.92766,0.9446,0.95223,0.7039,0.95059,0.72139,0.9783,0.0008614,0.0008614,0.0008614
23,308.668,0.81845,0.85802,0.90875,0.91342,0.95462,0.95214,0.70982,0.94918,0.71293,0.97909,0.0008548,0.0008548,0.0008548
24,320.677,0.81354,0.84514,0.91485,0.91658,0.94289,0.95296,0.67173,1.12379,0.73155,1.04502,0.0008482,0.0008482,0.0008482
25,332.598,0.82129,0.83288,0.91133,0.88666,0.9322,0.94037,0.73043,0.87975,0.71153,0.95771,0.0008416,0.0008416,0.0008416
26,344.638,0.83527,0.85543,0.93583,0.91877,0.93946,0.96844,0.71877,1.01969,0.66583,1.00067,0.000835,0.000835,0.000835
27,356.708,0.79519,0.77933,0.91064,0.93934,0.95784,0.95708,0.72682,0.88343,0.66438,0.96114,0.0008284,0.0008284,0.0008284
28,368.598,0.79384,0.79156,0.91602,0.93919,0.938,0.94736,0.71516,0.90857,0.6988,0.97608,0.0008218,0.0008218,0.0008218
29,380.581,0.78495,0.76112,0.90295,0.92709,0.95592,0.9417,0.71826,0.93113,0.67661,0.97616,0.0008152,0.0008152,0.0008152
30,392.467,0.78477,0.72357,0.89947,0.94969,0.94425,0.95081,0.73065,0.88962,0.6684,0.96788,0.0008086,0.0008086,0.0008086
31,404.371,0.78397,0.74917,0.88966,0.93263,0.93824,0.95301,0.71921,0.91758,0.67316,0.96465,0.000802,0.000802,0.000802
32,416.117,0.75886,0.74909,0.88379,0.91467,0.94502,0.94673,0.69421,0.9702,0.68187,1.00255,0.0007954,0.0007954,0.0007954
33,427.785,0.75347,0.72222,0.89414,0.91046,0.94571,0.95118,0.71076,0.95113,0.66025,0.97932,0.0007888,0.0007888,0.0007888
34,439.499,0.7864,0.74479,0.91744,0.93458,0.94027,0.9432,0.69254,1.01101,0.7089,1.00062,0.0007822,0.0007822,0.0007822
35,451.156,0.78624,0.73532,0.91599,0.92557,0.95351,0.92843,0.70207,0.88577,0.67615,0.95373,0.0007756,0.0007756,0.0007756
36,463.175,0.78259,0.71781,0.89463,0.93043,0.9558,0.93247,0.69369,0.98455,0.69974,0.99145,0.000769,0.000769,0.000769
37,475.069,0.78948,0.71386,0.9111,0.92179,0.95784,0.93708,0.73049,0.87594,0.67287,0.95692,0.0007624,0.0007624,0.0007624
38,487.121,0.78308,0.67392,0.89695,0.92228,0.9488,0.94085,0.69996,0.96229,0.67078,0.98459,0.0007558,0.0007558,0.0007558
39,499.052,0.82923,0.70855,0.92265,0.91881,0.95784,0.93515,0.71817,0.89904,0.67437,0.96829,0.0007492,0.0007492,0.0007492
40,511.925,0.80208,0.673,0.89588,0.92906,0.95612,0.9423,0.71716,0.90919,0.6828,0.96486,0.0007426,0.0007426,0.0007426
41,525.187,0.76901,0.66503,0.88903,0.93267,0.95133,0.94995,0.73101,0.88571,0.65177,0.95908,0.000736,0.000736,0.000736
42,538.298,0.74807,0.84798,0.87731,0.93069,0.93733,0.94879,0.71108,0.96918,0.64991,0.99122,0.0007294,0.0007294,0.0007294
43,551.29,0.81999,0.68879,0.91155,0.91321,0.942,0.93362,0.70126,0.9597,0.69622,0.99834,0.0007228,0.0007228,0.0007228
44,564.061,0.75742,0.66633,0.91045,0.92119,0.94756,0.92869,0.70922,0.89277,0.65521,0.97271,0.0007162,0.0007162,0.0007162
45,576.608,0.79105,0.64907,0.91451,0.92423,0.94178,0.94327,0.6982,0.97474,0.64606,0.99458,0.0007096,0.0007096,0.0007096
46,588.663,0.78437,0.68426,0.92217,0.92024,0.95327,0.9517,0.74278,0.83895,0.62732,0.94777,0.000703,0.000703,0.000703
47,600.707,0.75353,0.62662,0.90623,0.91859,0.93692,0.9316,0.69099,0.98763,0.68123,1.00168,0.0006964,0.0006964,0.0006964
48,613.476,0.77785,0.65877,0.88806,0.92461,0.95381,0.94022,0.71858,0.93609,0.66269,0.97423,0.0006898,0.0006898,0.0006898
49,626.47,0.75618,0.6194,0.89471,0.92066,0.95784,0.94127,0.71057,0.95558,0.65927,0.97985,0.0006832,0.0006832,0.0006832
50,639.603,0.74305,0.64013,0.90536,0.92135,0.95784,0.94344,0.72755,0.9008,0.63703,0.95731,0.0006766,0.0006766,0.0006766
51,652.727,0.74204,0.59002,0.88252,0.91351,0.95784,0.94013,0.71381,0.92916,0.65951,0.98107,0.00067,0.00067,0.00067
52,666.01,0.72651,0.58637,0.87684,0.9072,0.92298,0.93376,0.70448,0.92232,0.67773,0.97068,0.0006634,0.0006634,0.0006634
53,677.99,0.76859,0.62048,0.89309,0.913,0.9541,0.94305,0.72951,0.88242,0.63214,0.95315,0.0006568,0.0006568,0.0006568
54,690.349,0.709,0.58851,0.88904,0.91363,0.95784,0.94847,0.72597,0.86191,0.5964,0.94905,0.0006502,0.0006502,0.0006502
55,703.11,0.76525,0.60911,0.8931,0.92264,0.95186,0.94019,0.71118,0.91925,0.63902,0.97292,0.0006436,0.0006436,0.0006436
56,716.333,0.73568,0.59158,0.89968,0.93095,0.95784,0.94852,0.70676,0.94774,0.64594,0.99155,0.000637,0.000637,0.000637
57,729.935,0.73629,0.58973,0.90035,0.92831,0.93275,0.94458,0.72738,0.86961,0.61622,0.96037,0.0006304,0.0006304,0.0006304
58,742.687,0.78458,0.59668,0.91428,0.93606,0.93917,0.96038,0.71788,0.9509,0.605,0.9813,0.0006238,0.0006238,0.0006238
59,755.578,0.76456,0.57856,0.8764,0.92723,0.95127,0.95133,0.74989,0.82629,0.59605,0.94314,0.0006172,0.0006172,0.0006172
60,768.547,0.72494,0.59956,0.85319,0.92494,0.95169,0.94319,0.719,0.90294,0.62891,0.97097,0.0006106,0.0006106,0.0006106
61,781.762,0.75577,0.56998,0.8916,0.94699,0.93403,0.9446,0.72071,0.90299,0.64755,0.97573,0.000604,0.000604,0.000604
62,792.796,0.73563,0.5653,0.89038,0.92228,0.95237,0.94698,0.71824,0.93569,0.63638,0.97871,0.0005974,0.0005974,0.0005974
